Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,Mi,19999,29999,33% off,4.3,37571 Ratings & 3302 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty and 2 Years For Panel']
Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV with Bezel Less Display,Thomson,15999,29999,46% off,4.4,88179 Ratings & 18468 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,SAMSUNG,32990,54900,39% off,4.4,15280 Ratings & 1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,30990,52900,41% off,4.3,11689 Ratings & 1193 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 M...,LG,15490,23990,35% off,4.4,1360 Ratings & 189 Reviews,['Operating System: WebOS' 'HD Ready 1366 x 768 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,realme,25999,32999,21% off,4.3,32530 Ratings & 3710 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty On TV and 2 Years Warranty On The Display Panel']
iFFALCON by TCL K61 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,iFFALCON,44999,106990,57% off,4.3,24208 Ratings & 3320 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Vu GloLED 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,Vu,32999,55000,40% off,4.4,5606 Ratings & 1061 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
Blaupunkt Cybersound 106 cm (42 inch) Full HD LED Smart Android TV with 40W Speaker,Blaupunkt,15999,29999,46% off,4.4,10127 Ratings & 2294 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,Mi,40999,59999,31% off,4.3,49297 Ratings & 4517 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty and 2 Years for Panel']
Hisense A6H 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Hands Free Voice Control Dolby Vi...,Hisense,27999,44990,37% off,3.9,18 Ratings & 0 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,Adsun,7999,21999,63% off,3.9,14297 Ratings & 2153 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '3 Years of warranty']
Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Compaq,23999,43999,45% off,4.2,887 Ratings & 157 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,LG,47999,71990,33% off,4.4,11059 Ratings & 1366 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,SONY,44999,69900,35% off,4.6,2738 Ratings & 550 Reviews,"['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Vu,24999,45000,44% off,4.4,24776 Ratings & 3858 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction Cinema Zoom Powerful Audio Box Speakers,Dyanora,5599,10999,49% off,4.1,4635 Ratings & 658 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Manufacturer Warranty from the Date of Purchase']
Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction Android 9.0 Powerfu...,Dyanora,6499,12499,48% off,4.1,4635 Ratings & 658 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '1 Year Manufacturer Warranty from the Date of Purchase from Dyanora']
TOSHIBA C350LP Series 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and R...,TOSHIBA,33990,54990,38% off,4.2,224 Ratings & 44 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
Thomson R9 80 cm (32 inch) HD Ready LED TV,Thomson,7499,14990,49% off,4.1,58531 Ratings & 8387 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
MOTOROLA Revou 2 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by boAt and Dolby Visi...,MOTOROLA,23749,39000,39% off,4.3,2410 Ratings & 352 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,MarQ,8549,19999,57% off,4.2,8938 Ratings & 1088 Reviews,['HD Ready 1366 X 768 Pixels' '1 Year Warranty on Product']
MOTOROLA Revou 2 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,27999,52000,46% off,4.3,1409 Ratings & 207 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Vu 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,Vu,39999,65000,38% off,4.3,430 Ratings & 84 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty']
KODAK CA Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,KODAK,20999,37999,44% off,4.5,19605 Ratings & 5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840X2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Blaupunkt Cybersound 98 cm (40 Inch) HD Ready LED Smart Android TV with 40W Speaker,Blaupunkt,14999,23999,37% off,4.4,10127 Ratings & 2294 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Search,SAMSUNG,15990,20900,23% off,4.3,8591 Ratings & 912 Reviews,['Operating System: Tizen' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,Mi,39999,54999,27% off,4.4,4107 Ratings & 389 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty 2 Years for Panel']
Sansui 109 cm (43 inch) Full HD LED Smart Android TV with Voice Search Smart Remote (Midnight Black) (...,Sansui,20999,33990,38% off,4.2,147 Ratings & 22 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel']
Thomson OATHPRO Max 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,Thomson,23999,39999,40% off,4.5,28566 Ratings & 7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
realme 80 cm (32 inch) Full HD LED Smart Android TV,realme,15499,23999,35% off,4.2,9594 Ratings & 1282 Reviews,['Operating System: Android' 'Full HD 1080 x 1920 Pixels' '1 Year Warranty on TV and 2 Years Warranty on the Display Panel']
iFFALCON by TCL F53 100 cm (40 inch) Full HD LED Smart Android TV with Android 11,iFFALCON,15999,36990,56% off,4.2,1288 Ratings & 174 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),Mi,16149,25999,37% off,4.3,202 Ratings & 16 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Product Warranty and 1 Year Additional on Panel']
Mi 4A Horizon Edition 108 cm (43 inch) Full HD LED Smart Android TV,Mi,21999,31999,31% off,4.3,37571 Ratings & 3302 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty and 2 Years for Panel']
Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,Mi,49499,69999,29% off,4.3,49297 Ratings & 4517 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty and 2 Years for Panel']
SONY X75K 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Google TV,SONY,55679,86318,35% off,4.3,22 Ratings & 5 Reviews,"['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
MOTOROLA Revou 2 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,34999,72000,51% off,4.3,1409 Ratings & 207 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Hisense A6H 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Hands Free Voice Control Dolby Vi...,Hisense,38990,59990,35% off,3.9,18 Ratings & 0 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
KODAK X900 80 cm (32 inch) HD Ready LED TV,KODAK,7499,15999,53% off,4.1,15262 Ratings & 2396 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Hisense A4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X,Hisense,13490,24990,46% off,4.1,153 Ratings & 27 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty']
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,KODAK,9499,18499,48% off,4.4,37030 Ratings & 8147 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Thomson 9A Series 106 cm (42 inch) Full HD LED Smart Android TV,Thomson,16999,27999,39% off,4.4,88179 Ratings & 18468 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Compaq 80 cm (32 inch) HD Ready LED Smart Coolita TV,Compaq,9499,17999,47% off,4,162 Ratings & 20 Reviews,['Operating System: Coolita' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product']
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,OnePlus,61999,69999,11% off,4.4,13914 Ratings & 1466 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 year warranty on product and 1 year warranty on panel']
KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,KODAK,29999,47999,37% off,4.5,19605 Ratings & 5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840X2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
iFFALCON by TCL U62 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV,iFFALCON,29999,60990,50% off,4.4,202 Ratings & 31 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Infinix X3 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Infinix,26999,39999,32% off,4.3,460 Ratings & 88 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Domestic Warranty']
SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Google TV,SONY,88490,139900,36% off,4.3,23 Ratings & 5 Reviews,"['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,iFFALCON,32999,73990,55% off,4.4,202 Ratings & 31 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
TOSHIBA M550LP Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...,TOSHIBA,46990,79990,41% off,4.5,226 Ratings & 46 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
KODAK 7XPRO Series 106 cm (42 inch) Full HD LED Smart Android TV,KODAK,14999,27999,46% off,4.4,37030 Ratings & 8147 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Nokia 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Nokia,25999,40000,35% off,4.3,1463 Ratings & 203 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Hisense E4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X,Hisense,10999,24990,55% off,4.2,809 Ratings & 143 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty']
KODAK 7XPro 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,KODAK,24999,42999,41% off,4.4,6339 Ratings & 1448 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
SAMSUNG 80 cm (32 inch) HD Ready LED TV,SAMSUNG,12340,16400,24% off,4.3,7142 Ratings & 681 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Blaupunkt Cybersound 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 50W Speaker...,Blaupunkt,24999,41999,40% off,4.6,4750 Ratings & 1206 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
acer I Series 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Android 11 30W Dolby Audio ME...,acer,27999,40990,31% off,4.3,1100 Ratings & 194 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty']
KODAK 7X Pro 98 cm (40 inch) Full HD LED Smart Android TV,KODAK,15999,20999,23% off,4.4,37030 Ratings & 8147 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
TCL S5200 108 cm (43 inch) Full HD LED Smart Android TV,TCL,22690,47990,52% off,4.3,111 Ratings & 18 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '2 Year Product Warranty']
Sansui 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 (Midnight Black) (2021 Model),Sansui,10999,20990,47% off,4.2,1136 Ratings & 129 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 YEAR']
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV,BeethoSOL,7799,19000,58% off,4,334 Ratings & 28 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty']
iFFALCON by TCL K61 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,iFFALCON,26499,58990,55% off,4.3,24208 Ratings & 3320 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
SAMSUNG Crystal 4K Pro 146 cm (58 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,SAMSUNG,50990,80900,36% off,4.4,15280 Ratings & 1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV with Google TV,SONY,61880,99900,38% off,4.4,31 Ratings & 5 Reviews,"['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
